INSPECTION_ID,PROPERTY_ID,PROPERTY_NAME,ADDRESS,CITY,CBSA_NAME,CBSA_CODE,COUNTY_NAME,COUNTY_CODE,STATE_NAME,STATE_CODE,ZIP,LATITUDE,LONGITUDE,LOCATION_QUALITY,INSPECTION_SCORE,INSPECTION_DATE
504413,800212749,NORTH TOWN VILLAGE,1313 N Halsted St,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60642,41.905353,-87.647888,R,94,4/25/2013 10:02
504451,800006234,PETERSON PLAZA,5969 N Ravenswood Ave,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60660,41.990214,-87.674463,R,52,12/23/2013 9:08
504616,800067755,Evergreen Tower II,1343 N Cleveland Ave,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60610,41.907110,-87.640656,R,60,1/3/2014 9:14
504975,800224489,Clara's Village,2115 W 63rd St,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60636,41.779114,-87.677031,R,93,4/3/2013 9:39
504976,800224388,Coppin House,333 E 55th Pl,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60637,41.793751,-87.618070,R,83,3/22/2013 8:58
505122,800219397,Eden Supportive Living,940 W Gordon Ter,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60613,41.957536,-87.654026,R,37,10/23/2013 9:09
505166,800222397,Victory Centre of Roseland,10450 S Michigan Ave,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60628,41.704099,-87.620854,R,91,3/15/2013 9:42
505712,800005849,DIVISION STREET REHAB.,2815 W Division St,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60622,41.902776,-87.697395,R,45,6/25/2013 10:20
505768,800006526,65TH STREET APARTMENTS,6400 S Maryland Ave,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60637,41.778585,-87.604837,R,62,7/15/2013 10:07
505775,800024128,Transformation Housing III,7000 S Parnell Ave,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60621,41.767089,-87.638631,R,32,6/28/2013 11:22
505796,800005855,Drexel Preservation/Drexel Ct & Lake Park East,837 E 47th St,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60653,41.809411,-87.605796,R,72,5/29/2013 10:44
507765,800234683,2630 Hampden,2630 N Hampden Ct,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60614,41.929928,-87.641290,R,45,8/6/2013 10:17
507766,800234684,537 Melrose,537 W Melrose St,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60657,41.941015,-87.642917,R,55,8/22/2013 10:40
507767,800234659,536 Addison,536 W Addison St,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60613,41.948551,-87.644261,R,48,8/15/2013 9:36
507768,800234919,350 Oakdale Apartments,350 W Oakdale Ave,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60657,41.935791,-87.638732,R,52,6/11/2013 9:18
507771,800234710,3510 Pine Grove,3510 N Pine Grove Ave,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60657,41.946291,-87.644767,R,56,9/9/2013 10:30
507781,800006006,ISLAND TERRACE APTS,6430 S Stony Island Ave,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60637,41.778185,-87.586613,R,85,6/7/2013 8:56
507809,800006256,Prete House Apartments,5801 N PULASKI AVE,CHICAGO,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60646,41.995300,-87.756400,T,95,9/30/2013 9:10
507850,800040225,INDIAN TRAILS APARTMENTS,221 E 121st St,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60628,41.674127,-87.616596,R,59,8/21/2013 10:19
507859,800006172,Northeastwood Shores,850 W Eastwood Ave,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60640,41.966259,-87.651516,R,94,9/24/2013 9:55
507906,800006086,LOGAN & KEDZIE APTS,3142 W Logan Blvd,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60647,41.928805,-87.705203,R,96,2/13/2014 13:52
507934,800006096,LORINGTON APTS,2630 N Spaulding Ave,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60647,41.929280,-87.711093,R,87,2/14/2014 13:23
508060,800006371,Swartzberg House,3101 W Touhy Ave,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60645,42.011773,-87.706807,R,87,2/14/2014 8:59
508106,800006173,NORTHPOINT,7717 N Paulina St,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60626,42.021394,-87.672846,R,85,9/16/2013 12:29
508188,800040597,712 W DIVERSEY APTS,712 W Diversey Pkwy,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60614,41.932952,-87.647110,R,64,2/6/2014 10:34
508234,800005902,FARWELL-JARVIS APTS,1345 W Jarvis Ave,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60626,42.015954,-87.665924,R,64,8/27/2013 10:25
508408,800006518,325 N AUSTIN APTS,325 N Austin Blvd,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60644,41.886656,-87.774652,R,93,2/10/2014 12:27
508461,800005893,EVERGREEN TERRACE,1301 N Cleveland Ave,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60610,41.905771,-87.640629,R,71,9/17/2013 10:07
508633,800040446,Woolman-Washington Cooperative Apartments,2043 W Pierce Ave,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60622,41.909184,-87.679084,R,69,11/19/2013 10:04
508811,800006487,Willa Rawls Manor,4120 S Indiana Ave,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60653,41.819811,-87.621693,R,83,9/10/2013 10:50
509154,800005885,Elm Street Plaza,1130 N Dearborn St,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60610,41.902629,-87.630149,R,81,9/30/2013 14:13
509179,800005786,CHASE STREET APTS,1401 W Chase Ave,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60626,42.013791,-87.666397,R,70,7/30/2013 9:33
509222,800006454,Winthrop Towers,4848 N Winthrop Ave,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60640,41.970259,-87.657850,R,82,9/25/2013 12:48
509243,800006353,West Byron Place,2815 W Byron St,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60618,41.951994,-87.698783,R,93,8/22/2013 9:48
509321,800006071,SEVENTY THIRD AND DOBSON,1108 E 73rd St,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60619,41.762476,-87.597535,R,93,9/18/2013 9:39
509342,800040490,DAUPHIN AVE APTS,9200 S Dauphin Ave,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60619,41.727523,-87.603183,R,93,8/29/2013 10:03
509396,800005993,HYDE PARK APARTMENTS,5330 S Harper Ave,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60615,41.799099,-87.589297,R,93,9/12/2013 10:25
